,Unnamed: 0.1,Unnamed: 0,title,keyword,category,score,author,publisher,reviewnum
11,11,11,"귀찮아, 법 없이 살면 안 될까?",증거 인멸 법조인 교과 연계 학교 폭력 소년법 재판소,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 법학 > 법학일반 > 법학일반서']",67/0/33/0/0,곽한영 저자(글) · 신병근 그림/만화,나무를심는사람들,7.0
12,12,12,나는 대한민국 검사였다,죽음 상처 정치 진실 국민 발표,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평']",17/13/17/21/32,이인규 저자(글),조갑제닷컴,135.0
13,13,13,미국은 동아시아를 어떻게 지배했나,죽음 정책 구체 저자 경우 주장,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 동북아국제관계', '국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계']",21/29/25/4/21,마고사키 우케루 저자(글) · 양기호 번역,메디치미디어,41.0
14,14,14,미스터 프레지던트,공감 정치 국민 기획 대한민국 의미,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],10/7/4/45/34,탁현민 저자(글),메디치미디어,272.0
15,15,15,국가는 왜 실패하는가,정치 역사 운명 경제 중국 정치비평,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],30/16/19/9/27,"대런 애쓰모글루 , 제임스 A. 로빈슨 저자(글) · 최완규 번역 · 장경덕 감수",시공사,133.0
16,16,16,십대를 위한 미래사회 이야기,인공지능 청소년 4차산업혁명 프린팅 미래기술 로봇,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 인문 > 인문학일반 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",14/43/0/14/29,박경수 저자(글),메이트북스,32.0
17,17,17,"곱창 1인분도 배달되는 세상, 모두가 행복할까?",차별 청소년 인분 혐오 배달 노조,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제']",0/50/0/50/0,오찬호 저자(글) · 소복이 그림/만화,나무를심는사람들,7.0
18,18,18,지금은 대체 어떤 세계인가,경제 전환 비판 한편 구축 연결,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 사회철학', '국내도서 > 인문 > 철학 > 철학이론 > 현상학']",40/40/0/20/0,주디스 버틀러 저자(글) · 김응산 번역,창비,6.0
19,19,19,건국과 부국,소설 정치 전쟁 체제 대한민국 이론,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사'],0/0/0/0/0,김일영 저자(글),기파랑,0.0
20,20,20,각자도생의 세계와 지정학,중국 에너지 국가 국제관계 일부 국제,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치', '국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계']",45/16/12/8/20,피터 자이한 저자(글) · 홍지수 번역,김앤김북스,57.0
21,21,21,북일 교섭 30년,중국 관계 국민 활동 발표 대표,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 일본정치', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 아시아정치']",0/0/0/0/0,와다 하루키 저자(글) · 길윤형 번역,서해문집,0.0
22,22,22,나의 한국현대사 1959-2020,민주 항쟁 욕망 대한민국 민주화 미투 운동 대북정책,"['국내도서 > 역사/문화 > 한국사 > 근현대사 > 한국현대사', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사']",41/15/28/2/14,유시민 저자(글),돌베개,197.0
23,23,23,일본의 굴레,성장 경제 메이지 막부 프레임워크 아베,"['국내도서 > 역사/문화 > 동양사 > 일본사 > 일본사일반', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 일본정치', '국내도서 > 역사/문화 > 동양사 > 일본사 > 일본문화사', '국내도서 > 역사/문화 > 문화사 > 일본문화사']",33/15/30/4/18,"태가트 머피R 저자(글) · 윤영수 , 박경환 번역",글항아리,79.0
24,24,24,최저임금 쫌 아는 10대,중편 소설 청소년정치사회 자영업 임금제 자영 업자 척척박사,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",27/0/27/9/36,하승우 저자(글) · 방상호 그림/만화,풀빛,19.0
25,25,25,십 대를 위한 영화 속 세계 시민 교육 이야기,기후 위기 청소년 시민 난민 인권 빈곤,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",27/27/0/27/18,"함보름 , 김태연 , 고은영 , 박성아 , 전화전 , 김슬기 저자(글)",팜파스,11.0
26,26,26,지구를 살리는 옷장,지속 지속가능 동물 동물학대 산업 노동착취,"['국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 환경문제', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 청소년 > 청소년 인문교양']",13/52/13/0/22,"박진영 , 신하나 저자(글)",창비,29.0
27,27,27,빈 살만의 두 얼굴,경제 투자 아버지 기업 정책 미국,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']",25/50/0/25/0,"브래들리 호프 , 저스틴 셱 저자(글) · 박광호 번역",오픈하우스,4.0
28,28,28,나의 투쟁(Mein Kampf Adolf Hitler),전쟁 정치 민족 독일고전 심리 사상,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 기타나라정치', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 서양사 > 유럽사 > 유럽역사인물', '국내도서 > 역사/문화 > 역사인물 > 유럽역사인물']",41/13/23/3/21,아돌프 히틀러 저자(글) · 황성모 번역,동서문화사,55.0
29,29,29,위험한 일본책,조선 심리 감정 운명 근대 인식,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 한국외교', '국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 역사/문화 > 동양사 > 일본사 > 일본사일반']",0/0/0/0/0,박훈 저자(글),어크로스,0.0
30,30,30,반일 종족주의,정치 조선 일본 주의 한일관계 감정,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 외교학'],41/12/25/5/18,"이영훈 , 김낙년 , 김용삼 , 주익종 , 정안기 , 이우연 저자(글)",미래사,1007.0
31,31,31,"왜요, 그게 차별인가요?",성 평등 페미니즘 청소년 성 차별 성범죄 유모차,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 인문 > 인문학일반 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",0/0/0/40/60,박다해 저자(글) · 김가지(김예지) 그림/만화,동녘,5.0
32,32,32,평화의 힘,정치 미래 전쟁 용기 정책 국제,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],17/50/17/0/17,최종건 저자(글),메디치미디어,6.0
33,33,33,칸트의 정치철학,판단력 비판 판서 개별자 사유 실제 강의 순수 이성 비판,"['국내도서 > 인문 > 인문교양총서 > 한길그레이트북스', '국내도서 > 인문 > 철학 > 서양철학자 > 칸트', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",0/0/0/0/0,한나 아렌트 저자(글) · 김선욱 번역,한길사,0.0
34,34,34,인공지능은 왜 정치적일 수밖에 없는가,환경 과학 기술 인간 동물 도구,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 사회문제일반', '국내도서 > 컴퓨터/IT > 컴퓨터공학 > 인공지능 > 인공지능일반']",67/0/0/33/0,마크 코켈버그 저자(글) · 배현석 번역,생각이음,3.0
35,35,35,법학 에세이,사형 피해자 보호 기독교 신앙 형법 합법 판사,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",23/15/0/23/38,곽한영 저자(글),해냄출판사,28.0
36,36,36,우리의 불행은 당연하지 않습니다,조선 자본주의 사회 정치 경쟁 위선,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평', '국내도서 > 정치/사회 > 사회학 > 사회학일반 > 시사/사회비평']",41/21/21/2/15,김누리 저자(글),해냄출판사,202.0
37,37,37,예정된 전쟁,역사 고통 국제관계 지배 경쟁 평화,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],42/14/20/5/20,그레이엄 앨리슨 저자(글) · 정혜윤 번역,세종서적,88.0
38,38,38,프로테스탄트 윤리와 자본주의 정신(완역본),자본주의 영국 종교 윤리 미국 혁명,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 사회철학'],44/16/25/0/14,막스 베버 저자(글) · 박문재 번역,현대지성,92.0
39,39,39,오늘의 법정을 열겠습니다,낙태죄 태양광 헌법 재판소 전속 논란 합치,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 법학 > 법학일반 > 법학일반서']",50/25/0/0/25,허승 저자(글),북트리거,9.0
40,40,40,박정희의 시간들,인도 균형 탐구 완성 시스템 시각,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']",0/0/0/0/100,오인환 저자(글),나남,2.0
41,41,41,국가란 무엇인가,신판 정치철학 국가론 진보 정치 정치론 골조,"['국내도서 > 인문 > 철학 > 주제별철학 > 국가/정치윤리', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",43/15/28/1/13,유시민 저자(글),돌베개,708.0
42,42,42,민주주의에 반대한다,정치 도구 구분 주장 유형 비판,"['국내도서 > 정치/사회 > 사회학 > 사회사상 > 민주주의', '국내도서 > 정치/사회 > 정치/외교 > 정치사상 > 정치사상']",0/40/10/10/40,제이슨 브레넌 저자(글) · 홍권희 번역,아라크네,10.0
43,43,43,미국이 불타오른다,사회 미래 지역 목소리 운동 현상,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치'],100/0/0/0/0,레이나 립시츠 저자(글) · 권채령 번역 · 송인근 해설,롤러코스터,1.0
44,44,44,유튜브 쫌 아는 10대,규제 시민 의식 알고리즘 긍정 허위 리터,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",53/27/7/13/0,금준경 저자(글) · 하루치 그림/만화,풀빛,17.0
45,45,45,나는 그해 겨울 저들이 한 짓을 알고 있다,진실 이제 최종 사건 저자 해당,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반']",21/2/2/28/47,변희재 저자(글),미디어워치,51.0
46,46,46,혼돈의 시대 리더의 탄생,리더십 시대 탄생 정치학 연구 교양서,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서', '국내도서 > 자기계발 > 비즈니스능력계발 > 리더십향상']",43/20/20/2/16,도리스 컨스 굿윈 저자(글) · 강주헌 번역,커넥팅,217.0
47,47,47,"미안해요, 이재명",여성 조선 정부 정책 진실 비판,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사']",25/0/0/50/25,"백승대 , 이수현 저자(글)",매직하우스,5.0
48,48,48,전환시대의 논리,정치 중국 전쟁 동양사 현실 정치사상,"['국내도서 > 정치/사회 > 정치/외교 > 정치사상 > 정치사상', '국내도서 > 역사/문화 > 동양사 > 동양사일반']",38/3/38/3/19,리영희 저자(글),창작과비평사,45.0
49,49,49,권력의 조건,역사 인생 전쟁 운명 개선 편지,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']",50/0/33/17/0,도리스 컨스 굿윈 저자(글) · 이수연 번역,아르테(arte),7.0
50,50,50,"뉴스, 믿어도 될까?",리터 청소년정치사회 러시 언론사 언론 보도 디지털 기술,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",27/18/14/5/36,구본권 저자(글) · 안병현 그림/만화,풀빛,26.0
51,51,51,교실에서 세계 시민 되기 SDGs 테마 수업 워크북: 중등 편,성 평등 빈곤 문제 최신 이슈 종식 지속 가능 학교 현장,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",33/0/67/0/0,"강혜미 , 박민수 , 백수진 , 양철진 , 이예지 , 이지홍 , 정현미 , 홍연진 저자(글) · 봉관 그림/만화",창비교육,4.0
52,52,52,보좌의 정치학,직업 조직 실무 전략 업무 운동,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],100/0/0/0/0,이진수 저자(글),호두나무,1.0
53,53,53,10대와 통하는 법과 재판 이야기,악법 대한민국 헌법 헌법 재판소 법관 평화 약자,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",75/25/0/0/0,이지현 저자(글),철수와영희,5.0
54,54,54,"차이나 쇼크, 한국의 선택",정치 경제 산업 뉴노멀 시진핑 위기,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 중국정치', '국내도서 > 정치/사회 > 사회학 > 각국사회/문화 > 중국사회/문화']",31/23/20/0/26,한청훤 저자(글),사이드웨이,45.0
55,55,55,대만은 왜 중국에 맞서는가(특별판),일본 전쟁 국가 평화 독립 미래,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 중국정치'],0/0/0/0/0,뤼슈렌 저자(글) · 부자오치 번역,미디어워치,0.0
56,56,56,우리는 왜 시국선언을 하는가,역사 정치 국민 기록 위기 정부,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],100/0/0/0/0,"김성진 , 강기석 , 고일석 , 김민웅 , 이명재 , 전지윤 , 한승동 저자(글)",민들레북,1.0
57,57,57,나의 첫 젠더 수업,다이어트 가사 노동 여성학 모성 남성학 여성 혐오,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",25/44/13/0/19,김고연주 저자(글),창비,49.0
58,58,58,열 가지 당부,노동법 근로계약서 노동자 계약서 근로 경제학자,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제']",63/0/13/0/25,"하종강 , 이수정 , 김영민 , 하지현 , 류은숙 , 곽한영 , 임지선 , 정혜연 , 윤자영 , 신경아 저자(글)",창비,8.0
59,59,59,코끼리는 생각하지 마,투자 미국정치 추가 정치학 미국 결혼,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],41/14/23/4/18,조지 레이코프 저자(글) · 유나영 번역 · 나익주 감수,와이즈베리,265.0
60,60,60,세계외교사,전쟁 일본 근대 체제 안정 정책,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 외교학', '국내도서 > 정치/사회 > 대학교재 > 정치학', '국내도서 > 대학교재 > 정치/사회/법 > 정치학']",26/9/30/0/35,김용구 저자(글),서울대학교출판문화원,26.0
61,61,61,지정학의 힘,국제정치 중국 국제관계 필요 상상 지도,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 역사/문화 > 지리학 > 지리학의 이해']",36/16/11/7/31,김동기 저자(글),아카넷,58.0
62,62,62,"난민, 멈추기 위해 떠나는 사람들",중남미 이해 여정 관용 살길 인권,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제']",30/10/30/10/20,하영식 저자(글),뜨인돌출판사,25.0
63,63,63,거대한 체스판,유럽 중국 체제 유일 지배 경쟁,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],18/36/27/9/9,즈비그뉴 브레진스키 저자(글) · 김명섭 번역,삼인,14.0
64,64,64,미국 외교의 거대한 환상,정치 중국 유럽 전쟁 정책 국가,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],45/14/18/5/18,존 J. 미어샤이머 저자(글) · 이춘근 번역,김앤김북스,24.0
65,65,65,환경과 생태 이야기,콘센트 플라스틱 당장 눈앞 음식물 쓰레기 폭설 소비,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 환경문제']",80/0/0/0/20,"(주)자연과생태 , 김규정 , 민정희 , 최원형 , 푸른아시아 사진",철수와영희,7.0
66,66,66,민주주의 공부,오늘날 위기 국민 사회학 문장 대통령,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평'],38/15/15/0/31,얀-베르너 뮐러 저자(글) · 권채령 번역,윌북,21.0
67,67,67,"인공지능 시대, 십대를 위한 미디어 수업",인공지능 리터 러시 콘텐츠 페이크 청소년정치사회,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 언론/신문/방송 > 언론이론 > 미디어론']",100/0/0/0/0,정재민 저자(글),사계절,5.0
68,68,68,"국제분쟁, 무엇이 문제일까?",미얀마 청소년교양 군부 팔레스타인 사망자 진압,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",22/22/22/11/22,김미조 저자(글),동아엠앤비,20.0
69,69,69,인권연대의 청소년 인권 특강,페미니즘 성 평등 청소년정치사회 여성주의 인권감수성 여성 혐오,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']",33/33/0/0/33,"김형수 , 김홍미리 , 오창익 , 박흥식 , 이문영 , 서민 저자(글)",철수와영희,4.0
70,70,70,관광객의 철학,네그리 도스토옙스키 글로벌리즘 헤겔 철학 분열 아렌트,"['국내도서 > 인문 > 철학 > 동양철학일반 > 일본철학', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",33/17/33/17/0,아즈마 히로키 저자(글) · 안천 번역,리시올,7.0
71,71,71,유엔이 전하는 모의유엔회의의 실제,절차 의사결정 의사 외교 제안 도전과제,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제기구/국제기관'],0/0/0/0/0,United Nations 저자(글),미래희망기구,0.0
72,72,72,"대전환의 시대, 새로운 대한민국이 온다",정치 유럽 혁명 인도 평화 주목,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 한국외교'],33/7/27/7/27,김준형 저자(글),크레타,21.0
73,73,73,진보 재구성과 집권 전략,정치 상처 인사 확장 실패 참여,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평']",25/50/0/0/25,원희복 저자(글),썰물과밀물,6.0
74,74,74,국회의원뱃지달기,정치 전쟁 운동 전략 관리 훈련,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],0/0/0/0/0,이경직 저자(글),도서출판모담,0.0
75,75,75,리바이어던 2,시민법 정치 질서 대제사장 성례 주권자 유물론,"['국내도서 > 인문 > 인문학일반 > 인문학의이해', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",50/50/0/0/0,토머스 홉스 저자(글) · 진석용 번역,나남,2.0
76,76,76,죽음을 넘어 시대의 어둠을 넘어,역사 법률 한국근현대사 자료 광주민주화운동 참여,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사', '국내도서 > 역사/문화 > 한국사 > 근현대사 > 군사정권과민주화운동']",29/11/48/0/13,"광주민주화운동기념사업회 엮음 · 황석영 , 이재의 , 전용호 저자(글)",창비,82.0
77,77,77,독립정신,정치 조선 경제 대한민국 한국근현대정치 역사,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사'],44/9/32/3/12,박기봉 (교정) 감수 · 이승만 저자(글),비봉출판사,34.0
78,78,78,왈츠 이후,오늘날 서론 체제 발전 결론 민족,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 정치/사회 > 대학교재 > 정치학', '국내도서 > 대학교재 > 정치/사회/법 > 정치학']",0/67/33/0/0,이근욱 저자(글),한울,3.0
79,79,79,박정희는 어떻게 경제강국 만들었나,원칙 정치 근대 한국현대사 혁명 한국정치,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],67/33/0/0/0,오원철 저자(글),동서문화사,8.0
80,80,80,이승만 없었다면 대한민국 없다,일본 경제 정부 반대 근거 완전,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],55/0/36/0/9,로버트 올리버 저자(글) · 박일영 번역,동서문화사,16.0
81,81,81,알튀세르의 정치철학 강의,정치 철학 강의 근대 고등 인간,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학'],40/20/20/0/20,루이 알튀세르 저자(글) · 진태원 번역,후마니타스,6.0
82,82,82,미국 정부와 정치 2,미래 특수 과거 마련 조건 수정,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치'],0/75/0/0/25,"미국정치연구회 , 이병재 저자(글)",오름,4.0
83,83,83,다가오는 유럽의 위기와 지정학,전쟁 오늘날 통합 유럽사 역사 금융위기,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 기타나라정치'],34/23/17/0/26,조지 프리드먼 저자(글) · 홍지수 번역,김앤김북스,38.0
84,84,84,밀림의 귀환,경제 미국 성공 책임 유지 평화,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],10/10/20/0/60,로버트 케이건 저자(글) · 홍지수 번역,김앤김북스,12.0
85,85,85,플라톤전집 4,서양 철학 철인 정치학 서양 철학사 형이상학 국가론,"['국내도서 > 인문 > 인문고전총서 > 인문고전총서일반', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']",42/20/18/2/18,플라톤 저자(글) · 천병희 번역,숲,59.0
86,86,86,세상을 바꾼 미디어,수상 내역 계산기 추천 도서 사이버 진흥 권장,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 언론/신문/방송 > 언론이론 > 미디어론']",40/0/40/20/0,김경화 저자(글),다른,7.0
87,87,87,비통한 자들을 위한 정치학,정치 습관 오늘날 상처 정치에세이 고통,"['국내도서 > 정치/사회 > 사회학 > 사회사상 > 민주주의', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서']",47/24/21/0/8,파커 J. 파머 저자(글) · 김찬호 번역,글항아리,49.0
88,88,88,생명관리정치의 탄생,무정부 상태 재판 청구 운위 사회 정책 자유방임 계보학,"['국내도서 > 인문 > 철학 > 서양철학자 > 미셀푸코', '국내도서 > 정치/사회 > 정치/외교 > 정치이론 > 정치이론/개론']",25/0/50/0/25,"미셸 푸코 저자(글) · 심세광 , 전혜리 , 조성은 번역",난장,4.0
